	fixationN	duration	position	wordN	freq	freqClass	sentenceN	runN
0	0	259.9431008189932	4.0	0	1	0	0	0
1	1	219.08354658005362	11.187980569254218	1	181	2	0	0
2	2	187.12069541854498	17.75841040543589	2	1789	3	0	0
3	3	202.7597041996178	21.562608860663797	3	3036	3	0	0
4	4	211.78337595700842	24.525226035843133	4	1635	3	0	0
5	5	335.79130793219514	37.08816425383378	6	5372	3	0	0
6	6	381.914810834516	44.40800515216275	8	409	2	0	0
7	7	151.09692122351507	59.48398920174847	11	134	2	0	0
8	0	222.60484923520954	2.5	0	69974	4	1	0
9	1	296.6980570939013	9.00936277732751	1	92	1	1	0
10	2	370.50630747180423	21.340036740155327	2	52	1	1	0
11	3	265.1121477302457	28.27915503695594	3	69974	4	1	0
12	4	235.9383157501319	38.66258661159887	5	382	2	1	0
13	5	235.09938877732063	43.913800710289316	6	36414	4	1	0
14	0	314.0043424125713	3.0	0	108	2	2	0
15	1	132.39745101713348	9.599502035089378	2	69974	4	2	0
16	2	162.50217897839238	18.5706124452891	3	213	2	2	0
17	3	97.25978172779969	15.614189413785937	3	213	2	2	0
18	4	135.09373923197734	19.996648932709206	3	213	2	2	0
19	5	210.61485102546033	16.542868309018502	3	213	2	2	0
20	6	253.67135127121907	34.43558215382134	6	3942	3	2	0
21	7	248.58254616098023	43.361256184121615	8	1	0	2	0
22	8	261.40976029920864	48.88890481585527	9	1068	3	2	0
23	0	398.385833946601	3.0	0	83	1	3	0
24	1	211.19602960937124	8.289725443766844	1	413	2	3	0
25	2	217.0765584540382	14.017304681296249	2	1	0	3	0
26	3	346.0088752708652	20.54952298894132	3	10593	4	3	0
27	4	125.66852205075902	26.338825602346933	5	2715	3	3	0
28	5	128.2171204939442	30.249792416977048	6	149	2	3	0
29	6	158.57838160592422	34.983979233356344	6	149	2	3	0
30	7	153.43058918668686	30.467536731564717	6	149	2	3	0
31	8	158.12559424465056	33.86933066591166	6	149	2	3	0
32	9	237.45441122263225	41.659952906679216	8	1068	3	3	0
33	0	301.0357837844739	3.0	0	143	2	4	0
34	1	245.68785840896768	11.068379630683701	1	22	1	4	0
35	2	280.90897693574067	17.766324600110025	2	10593	4	4	0
36	3	285.10123738286075	28.760535661150413	4	39	1	4	0
37	4	81.12298792211331	40.436053999359935	5	97	1	4	0
38	5	154.53681957676216	35.86502999859168	5	97	1	4	0
39	0	235.35880680232123	2.5	0	69974	4	5	0
40	1	291.7633021906377	7.896275357882015	1	45	1	5	0
41	2	215.6317983543373	11.789545424885553	2	1207	3	5	0
42	3	175.15723843741915	18.160278398190872	3	401	2	5	0
43	4	231.14711732974294	24.1840650082882	4	69974	4	5	0
44	5	209.69145095878702	30.178379088399193	5	40	1	5	0
45	6	261.81904058314365	34.611475877109626	6	26155	4	5	0
46	7	186.03326404772895	47.19400798622293	8	1814	3	5	0
47	8	215.19817625780672	52.4047212669009	9	69974	4	5	0
48	9	215.0615988752042	57.49592534183841	10	1635	3	5	0
49	0	243.8858249947117	2.5	0	69974	4	6	0
50	1	300.1391335561893	7.116322347144937	1	19	1	6	0
51	2	415.3332674271402	20.9123730228732	2	102	2	6	0
52	3	92.14824940630875	36.88822326462761	6	36	1	6	0
53	4	207.0840463016332	32.00003673119707	5	4	0	6	0
54	5	130.90717903733184	42.66880316531459	6	36	1	6	0
55	0	252.2353969896941	1.5	0	23127	4	7	0
56	1	119.61734187397343	8.468451140225872	1	11	1	7	0
57	2	103.46404095400794	3.4504749051774617	1	11	1	7	0
58	3	115.3244722331511	13.061913349166886	2	1	0	7	0
59	4	196.24983602186867	18.258871444215718	2	1	0	7	0
60	5	460.1978068211669	26.25399626768909	3	1	0	7	0
61	6	135.9736608045087	48.276932634879444	7	37	1	7	0
62	7	196.3352057905861	44.96178927134598	7	37	1	7	0
63	0	277.2509259557521	4.5	0	1	0	8	0
64	1	161.87579251867555	10.570615730212875	1	90	1	8	0
65	2	72.91466252007152	14.994708907416545	1	90	1	8	0
66	3	178.22085145471414	24.14084014392658	3	1	0	8	0
67	4	227.0274178210685	27.727545178754802	3	1	0	8	0
68	5	108.66271368344084	41.82039362554266	5	6	0	8	0
69	6	208.2435701299508	38.195575672828625	5	6	0	8	0
70	7	216.4167961915611	48.807714623959406	6	1	0	8	0
71	0	255.42770015740945	2.5	0	69974	4	9	0
72	1	300.6596139547928	11.239672594916733	1	8	0	9	0
73	2	117.66425117128169	24.527958999153107	3	83	1	9	0
74	3	209.55583763003798	29.66153374214393	3	83	1	9	0
75	4	177.75644814475774	34.28955249704482	5	69974	4	9	0
76	5	276.69381979536047	41.55959903187561	6	72	1	9	0
77	6	164.5670094932237	47.11875273179651	7	28850	4	9	0
78	7	125.15602249146305	50.2914171741136	8	141	2	9	0
79	8	175.28137603736369	59.243178595603986	9	1029	3	9	0
80	0	282.210488436254	2.5	0	15	1	10	0
81	1	181.4071917099088	8.330811595405436	1	413	2	10	0
82	2	127.22013358774154	13.677381520742763	3	80	1	10	0
83	3	169.38567959938825	20.621258273793785	3	80	1	10	0
84	4	272.4039228236169	24.12221441751517	4	10593	4	10	0
85	5	347.784511689247	35.22749476063483	7	16	1	10	0
86	6	140.3562964843152	57.22964883449166	10	62	1	10	0
87	0	221.48073581797624	2.0	0	13	1	11	0
88	1	173.68488193184442	6.198711272569365	1	9816	3	11	0
89	2	283.8924554270153	11.04095767510466	2	15	1	11	0
90	3	128.8981201956658	21.33605777537157	4	54	1	11	0
91	4	139.40764904703252	25.088703900073757	4	54	1	11	0
92	5	236.6346951297555	31.012553482418248	5	267	2	11	0
93	6	327.2056177624737	38.3443840637134	6	59	1	11	0
94	7	216.7584707857311	47.59505935136943	7	680	2	11	0
95	8	225.10987362144698	51.12518990242412	8	9547	3	11	0
96	9	260.7813299418587	57.284777925597794	10	21335	4	11	0
97	0	288.0088492732776	3.5	0	1	0	12	0
98	1	273.0687711735075	9.016338156804846	1	28850	4	12	0
99	2	275.2823812367339	25.171865175586642	4	508	2	12	0
100	3	121.05839519942326	30.852805754286024	6	16	1	12	0
101	4	122.82346520030487	36.158592573658495	6	16	1	12	0
102	5	244.08249481891437	41.68546119798642	8	2670	3	12	0
103	6	119.19762680072893	44.985181284846284	8	2670	3	12	0
104	0	240.24704910379856	3.0	0	83	1	13	0
105	1	270.92404638888127	7.358644463517046	1	438	2	13	0
106	2	215.4384698020073	10.816695148023854	2	834	2	13	0
107	3	121.74410994552073	17.899028599180955	3	937	2	13	0
108	4	216.9256360445952	23.15092723101053	5	21335	4	13	0
109	5	151.70833971502356	31.088228907359163	7	44	1	13	0
110	6	274.40981877980846	36.62086734081687	7	44	1	13	0
111	0	238.78303040609882	2.5	0	69974	4	14	0
112	1	261.5791020265546	8.339804141241725	1	7	0	14	0
113	2	343.8015530589001	17.321319563994926	3	3286	3	14	0
114	3	309.24341708109534	24.911891685974865	4	32	1	14	0
115	4	116.19167875153195	26.91041480031521	4	32	1	14	0
116	5	130.8517258277362	33.482397062881155	5	7289	3	14	0
117	6	178.586970447979	40.12583387624471	6	58	1	14	0
118	7	200.6240770913529	51.31845433887069	7	2	0	14	0
119	8	131.48579279814942	47.179614179214816	7	2	0	14	0
120	9	142.53960754436866	55.29871195841214	8	28850	4	14	0
121	0	240.5089529419992	2.5	0	69974	4	15	0
122	1	238.1288935651443	5.8521947160304135	1	57	1	15	0
123	2	336.27662909758135	14.579164477288074	2	1	0	15	0
124	3	233.59226302380966	19.55091148755473	3	1068	3	15	0
125	4	255.71342531930932	30.539546859216134	5	66	1	15	0
126	5	216.65270316899	37.58829729465849	6	2	0	15	0
127	6	274.905439262529	42.1822603763064	7	2252	3	15	0
128	7	262.5473119464955	48.16381802901875	9	71	1	15	0
129	8	286.6431169138411	51.57956383882226	9	71	1	15	0
130	0	254.17680302330504	2.5	0	69974	4	16	0
131	1	263.37733324980127	7.028136780372571	1	351	2	16	0
132	2	230.60350797312253	13.2768161356454	2	570	2	16	0
133	3	195.8059407989804	17.781401989580203	3	10593	4	16	0
134	4	202.57809880203362	25.168881049915786	4	37	1	16	0
