	fixationN	duration	position	wordN	freq	freqClass	sentenceN	runN
0	1	324.4954618270305	3.0	1	1.0	0	1	1
1	2	274.7100300683767	8.790161459368337	2	181.0	2	1	1
2	3	230.34601629078347	15.758338871047695	3	1789.0	3	1	1
3	4	219.97060048214962	21.018358692342048	5	1635.0	3	1	1
4	5	282.9314796574089	30.660400252508015	6	81.0	2	1	1
5	6	180.86855175718878	34.41363074230312	6	81.0	2	1	1
6	7	133.8565804751106	40.49933014455932	8	69974.0	5	1	1
7	8	201.76724147667585	48.64682854057795	10	36414.0	5	1	1
8	1	276.34721619635474	1.5	1	69974.0	5	2	1
9	2	248.6152940838981	6.966196489344999	2	92.0	2	2	1
10	3	206.18709852670193	17.51086767231438	3	52.0	2	2	1
11	4	107.36747675784977	20.85387612048111	3	52.0	2	2	1
12	5	156.59134262493635	30.246413281731172	5	1635.0	3	2	1
13	6	102.77554416179291	34.046727408249374	6	382.0	3	2	1
14	7	172.75825295626095	42.19597866860802	7	36414.0	5	2	1
15	8	217.00340212661524	46.019727420691915	8	69974.0	5	2	1
16	9	253.25947049812567	56.47627454181742	10	207.0	2	2	1
17	1	306.97076869182735	2.0	1	108.0	2	3	1
18	2	296.22236849818705	13.44682735759744	4	213.0	2	3	1
19	3	295.3888518462767	22.62070132003394	5	226.0	2	3	1
20	4	127.4783013022066	30.786019641340744	7	3942.0	4	3	1
21	5	187.67012729880673	34.94311747040941	7	3942.0	4	3	1
22	6	371.02478924077616	42.874008945260215	9	1.0	0	3	1
23	7	231.30734483430427	46.64716945245605	10	1068.0	3	3	1
24	1	247.94429397912108	2.0	1	83.0	2	4	1
25	2	305.74730927821713	8.169893843526694	2	413.0	3	4	1
26	3	236.62830032828236	11.58949784562933	3	1.0	0	4	1
27	4	197.21000589540637	22.35010884291406	5	9547.0	4	4	1
28	5	294.39525435452055	28.243355536633565	6	2715.0	3	4	1
29	6	133.56305130975198	33.05116381849436	7	149.0	2	4	1
30	7	295.07532780953363	41.040851743325845	9	1068.0	3	4	1
31	8	144.01270023569927	42.76175881168928	9	1068.0	3	4	1
32	1	216.13489478579507	2.0	1	143.0	2	5	1
33	2	250.27081526528295	9.9176262726656	2	22.0	1	5	1
34	3	237.84161468397946	16.39258967275861	3	10593.0	4	5	1
35	4	344.73812220744753	30.1722464678926	5	39.0	2	5	1
