	fixationN	duration	position	wordN	freq	freqClass	sentenceN	runN
0	1	351.0112526124668	3.0	1	1.0	0	1	1
1	2	220.83902397215772	7.96333478109042	2	181.0	2	1	1
2	3	305.58166523298723	16.228800359692702	3	1789.0	3	1	1
3	4	242.36802700792305	18.77310603256304	4	3036.0	3	1	1
4	5	253.62759932856432	29.497426901331806	6	81.0	2	1	1
5	6	209.17167655804005	35.741794188377646	7	5372.0	4	1	1
6	7	204.05608518528925	41.79476865140399	8	69974.0	5	1	1
7	8	128.06995140427802	39.04071128163464	8	69974.0	5	1	1
8	9	134.0850869019286	48.90784371927423	10	36414.0	5	1	1
9	1	299.3869589390305	1.5	1	69974.0	5	2	1
10	2	170.9166847084601	5.654833804159435	2	92.0	2	2	1
11	3	297.3137137187037	21.599543757388307	3	52.0	2	2	1
12	4	223.13080582562796	32.096876917155186	6	382.0	3	2	1
13	5	227.8905757346035	40.157149897201556	6	382.0	3	2	1
14	1	289.3048554804327	2.0	1	108.0	2	3	1
15	2	412.7799686865453	12.457782367121384	4	213.0	2	3	1
16	3	288.8932780605257	31.986523071690677	7	3942.0	4	3	1
17	4	252.10873305914836	37.6065131749219	8	3727.0	4	3	1
18	5	167.9686498965614	41.572171046765376	9	1.0	0	3	1
19	6	203.35200537123148	45.94603902673377	10	1068.0	3	3	1
20	1	281.20255516415693	2.0	1	83.0	2	4	1
21	2	98.38732018347505	6.331671014142358	2	413.0	3	4	1
22	3	172.04900429265294	10.862869052580951	3	1.0	0	4	1
23	4	96.53346117352572	5.652180369967052	2	413.0	3	4	1
24	5	148.67276000724218	13.15032199551246	3	1.0	0	4	1
25	6	160.54652136780487	18.722821704918534	4	10593.0	4	4	1
26	7	363.18426908189315	27.954035235063387	6	2715.0	3	4	1
27	8	159.06280761004774	32.27158198220096	7	149.0	2	4	1
28	9	139.7365534129977	38.923888618845325	9	1068.0	3	4	1
29	10	218.95145668721415	41.54373259089815	9	1068.0	3	4	1
30	1	227.5225339570659	2.0	1	143.0	2	5	1
31	2	293.31536529877883	10.176048671569653	2	22.0	1	5	1
32	3	148.34776252378535	20.137153434919252	4	69974.0	5	5	1
33	4	137.53001252667485	23.190665434713114	4	69974.0	5	5	1
34	5	275.28887811887824	28.289992549962797	5	39.0	2	5	1
35	6	270.4401161652756	39.933690963816304	6	97.0	2	5	1
36	7	222.92379336518195	46.01627831220504	7	2214.0	3	5	1
37	8	186.5341237160823	55.24074406760961	9	1790.0	3	5	1
38	1	218.0209475623198	1.5	1	69974.0	5	6	1
39	2	219.40632203514298	6.2815365205367275	2	45.0	2	6	1
40	3	264.4660297555167	12.906704728875294	3	1207.0	3	6	1
41	4	140.8026883396392	16.404226117466482	4	401.0	3	6	1
42	5	367.975197708455	27.71772555733896	6	40.0	2	6	1
43	6	269.1173847779692	35.16077744925842	8	11.0	1	6	1
44	7	296.77267836933675	38.81552426858473	8	11.0	1	6	1
45	8	335.17530900725757	53.85000638424053	10	69974.0	5	6	1
46	9	192.61493082311986	57.67464018747772	11	1635.0	3	6	1
47	10	135.17294499641653	62.300827783385074	13	299.0	2	6	1
48	1	234.48458453200115	1.5	1	69974.0	5	7	1
49	2	160.81092966869537	9.134448386985216	2	19.0	1	7	1
50	3	194.61964061979185	6.433643621301883	2	19.0	1	7	1
51	4	150.9358278422467	13.885415817358268	3	102.0	2	7	1
52	5	200.30221075261989	19.80085494901781	3	102.0	2	7	1
53	6	253.6057640410255	25.011892055784493	5	772.0	3	7	1
54	7	58.31251629900177	26.67519006933004	5	772.0	3	7	1
55	8	270.33373986430973	33.709007983434105	6	4.0	1	7	1
56	1	275.2424903321799	0.5	1	23127.0	4	8	1
57	2	127.73703820035539	5.896050128733295	2	11.0	1	8	1
58	3	261.5758978190475	15.660380337194402	3	1.0	0	8	1
59	4	263.4602350226988	23.759560681012346	4	1.0	0	8	1
60	5	143.1051538993616	32.509355242193294	5	485.0	3	8	1
61	6	144.620865054815	29.099804046519193	5	485.0	3	8	1
62	7	145.00236411724256	35.93102872799608	6	4868.0	4	8	1
63	8	159.60856183991316	41.322580529647496	7	61.0	2	8	1
64	9	267.74169422889076	46.88081029048065	8	37.0	2	8	1
65	10	203.47307984968472	58.975681668995094	10	31.0	1	8	1
66	1	336.7787870728271	3.5	1	1.0	0	9	1
67	2	238.5917336621124	13.113725635484673	2	90.0	2	9	1
68	3	184.76947915358306	18.388984910111034	3	9816.0	4	9	1
69	4	238.7842296568867	25.343980690988573	4	1.0	0	9	1
70	5	193.38004615940056	35.79183599316727	6	6.0	1	9	1
71	6	165.04101302381736	39.31873651256693	6	6.0	1	9	1
72	7	95.28346653126823	47.61015613646779	7	1.0	0	9	1
73	1	287.6543409921672	1.5	1	69974.0	5	10	1
74	2	271.2550120976168	6.788558873465676	2	8.0	1	10	1
75	3	269.37440166969003	15.988309078367855	3	39.0	2	10	1
76	4	253.9004172759849	26.487857094135205	4	83.0	2	10	1
77	5	278.7470807804202	32.50434590004137	5	21335.0	4	10	1
78	6	363.02001256719103	40.57887424308448	7	72.0	2	10	1
79	7	278.17894367497934	51.67585809461798	9	141.0	2	10	1
80	8	337.45934506497656	55.81753945372876	10	1029.0	3	10	1
81	9	98.84290989271759	62.19492266632478	11	1.0	0	10	1
82	1	261.72754343840074	1.5	1	15.0	1	11	1
83	2	151.08796969228504	4.581273167340931	2	413.0	3	11	1
84	3	235.1099407233815	9.753545540159793	3	69974.0	5	11	1
85	4	152.99435006235342	17.93656052851312	4	80.0	2	11	1
86	5	173.82503275438964	14.531574307595495	4	80.0	2	11	1
87	6	107.15941935590557	22.90916666918072	5	10593.0	4	11	1
88	7	181.95919433356374	28.22904141854522	6	3036.0	3	11	1
89	8	290.39785127287416	32.287829927167245	7	76.0	2	11	1
90	9	61.010256284969444	48.1324988557993	10	1.0	0	11	1
91	10	116.59253850565662	42.2970104781723	10	1.0	0	11	1
92	11	149.8993352873562	47.87697706887856	10	1.0	0	11	1
